id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
58122,0.169,-0.165,0.08,-0.028,0.016,0.081,0.034,0.016,0.03,-0.004,0.008,0.583,CA,CISO,CAISO,35.790864,-119.294469,NG,GAS,0.01167,60.5,,6186.0,0.323,0.0,4389.9,11942.342083,5.221467830585193e-05,0.0,0.709650824442289,Combustion turbine,Intensity
55855,0.154,-0.095,0.056,-0.043,0.016,0.006,0.01,0.013,0.414,0.009,0.007,0.196,CA,CISO,CAISO,38.228522,-122.07525,NG,GAS,0.02153,47.0,,8863.0,0.908,0.0,6373.0,12099.628547,0.00010244838090939863,0.0,0.7190567527925081,Combustion turbine,Intensity
10034,0.145,-0.302,0.05,0.006,0.011,0.58,-0.004,0.009,0.692,0.0,0.006,0.95,CA,CISO,CAISO,37.0001,-121.5367,NG,GAS,0.09437,130.0,Yes,107472.0,12.304,0.244,45418.618,7111.887868,0.00011448563346732173,2.270358791126991e-06,0.4226088469554861,Combined cycle,Intensity
55345,0.109,-0.221,0.03,0.011,0.009,0.192,0.013,0.006,0.03,-0.001,0.004,0.807,CA,CISO,CAISO,32.581481,-116.914969,NG,GAS,0.34946,688.5,,2107684.0,44.559,4.6,908171.812,7250.449783,2.1141214717196693e-05,2.1824903543415425e-06,0.43088613473366977,Combined cycle,Intensity
55510,0.069,-0.011,0.062,-0.014,0.025,0.582,0.007,0.011,0.514,0.003,0.006,0.632,CA,CISO,CAISO,32.562448,-116.943869,NG,GAS,0.03137,60.5,,16625.0,0.956,0.1,10492.6,10743.074248,5.7503759398496236e-05,6.015037593984962e-06,0.6311338345864662,Combustion turbine,Intensity
55513,0.105,-0.013,0.059,-0.023,0.018,0.212,-0.011,0.011,0.332,0.0,0.006,0.944,CA,CISO,CAISO,33.121943,-117.117441,NG,GAS,0.03059,58.9,,15784.0,1.243,0.1,10150.8,10991.255979,7.875063355296503e-05,6.335529650278764e-06,0.6431069437404967,Combustion turbine,Intensity
55538,0.078,-0.12,0.04,-0.012,0.014,0.366,0.003,0.009,0.732,0.001,0.005,0.893,CA,CISO,CAISO,33.1261,-117.1172,NG,GAS,0.01494,98.0,,12827.0,0.903,0.0,8034.3,10540.582122,7.039837842051922e-05,0.0,0.6263584626179154,Combustion turbine,Intensity
55748,0.253,-0.174,0.023,0.017,0.004,0.0,0.008,0.004,0.038,-0.002,0.002,0.373,CA,CISO,CAISO,37.425,-121.9319,NG,GAS,0.10188,306.1,,273196.0,6.745,0.8,142075.9,8750.657266,2.468923410298833e-05,2.9283005607695577e-06,0.5200511720522994,Combined cycle,Intensity
56471,0.089,-0.052,0.041,0.001,0.008,0.898,0.006,0.008,0.48,0.001,0.005,0.82,CA,CISO,CAISO,34.205556,-119.246944,NG,GAS,0.05093,49.8,,22220.0,1.278,0.1,13233.6,10020.986864,5.751575157515752e-05,4.500450045004501e-06,0.5955715571557156,Combustion turbine,Intensity
56914,0.07,-0.01,0.061,-0.036,0.016,0.024,0.011,0.013,0.362,-0.001,0.007,0.878,CA,CISO,CAISO,33.3594,-117.1114,NG,GAS,0.01714,118.0,,17719.0,1.098,0.0,11735.0,11143.820281,6.196737964896439e-05,0.0,0.6622834245724928,Combustion turbine,Intensity
57001,0.14,-0.045,0.056,-0.06,0.017,0.0,0.008,0.012,0.544,0.004,0.007,0.553,CA,CISO,CAISO,32.796106,-116.972073,NG,GAS,0.01199,60.5,,6355.0,0.74,0.0,4276.7,11322.45771,0.00011644374508261211,0.0,0.6729661683713611,Combustion turbine,Intensity
55540,0.62,-0.049,0.144,-0.005,0.028,0.864,0.025,0.021,0.243,-0.003,0.012,0.764,CA,CISO,CAISO,32.591667,-117.058611,NG,GAS,0.00736,37.2,,2399.0,0.287,0.0,2703.8,18965.46494,0.00011963318049187161,0.0,1.1270529387244685,Combustion turbine,Intensity
55541,0.081,-0.288,0.062,-0.034,0.015,0.024,-0.028,0.014,0.045,0.007,0.008,0.355,CA,CISO,CAISO,33.910873,-116.552994,NG,GAS,0.03098,149.7,,40629.0,4.563,0.1,25984.6,10760.810282,0.00011230894188879864,2.4612961185360212e-06,0.6395579512171109,Combustion turbine,Intensity
55951,0.181,-0.251,0.068,0.017,0.016,0.294,-0.06,0.015,0.0,0.005,0.007,0.479,CA,CISO,CAISO,34.0414,-117.3603,NG,GAS,0.02734,60.5,,14492.0,1.259,0.0,9639.4,11191.783613,8.687551752691139e-05,0.0,0.6651531879657742,Combustion turbine,Intensity
7449,0.116,-0.133,0.056,0.019,0.015,0.209,-0.022,0.01,0.036,-0.006,0.006,0.312,CA,CISO,CAISO,38.088138,-121.386944,NG,GAS,0.07424,50.0,,32516.0,1.896,0.1,16469.1,8523.028086,5.830975519744126e-05,3.0754090294009103e-06,0.5064921884610653,Combustion turbine,Intensity
10649,0.299,-0.107,0.037,0.038,0.009,0.0,0.01,0.007,0.159,-0.002,0.004,0.526,CA,CISO,CAISO,35.419181,-118.926643,NG,GAS,0.10392,46.0,Yes,41877.0,7.076,0.077,18073.403,7262.051559,0.00016897103421926115,1.8387181507748882e-06,0.4315830408099911,Combustion turbine,Intensity
10650,0.826,-0.045,0.051,0.025,0.019,0.182,-0.016,0.008,0.05,0.006,0.004,0.161,CA,CISO,CAISO,35.483736,-119.029856,NG,GAS,0.04618,46.0,Yes,18607.0,7.029,0.072,7574.315,6849.392372,0.0003777610576664696,3.869511474176385e-06,0.4070680389100876,Combustion turbine,Intensity
50612,0.309,-0.191,0.069,0.042,0.012,0.001,-0.001,0.012,0.957,-0.005,0.006,0.437,CA,CISO,CAISO,35.319503,-119.661992,NG,GAS,0.03994,46.0,Yes,16096.0,2.561,0.0,6942.697,7259.065017,0.00015910785288270377,0.0,0.43133057902584493,Combustion turbine,Intensity
54768,0.334,-0.081,0.065,0.05,0.013,0.0,-0.015,0.011,0.173,-0.008,0.006,0.2,CA,CISO,CAISO,35.4837,-119.0298,NG,GAS,0.05217,46.0,Yes,21023.0,8.043,0.073,8565.162,6856.600345,0.00038258098273319694,3.472387385244732e-06,0.40741863673119916,Combustion turbine,Intensity
55512,0.069,-0.096,0.061,-0.0,0.014,0.99,0.029,0.015,0.057,-0.01,0.008,0.183,CA,CISO,CAISO,32.796491,-116.972071,NG,GAS,0.0159,48.7,,6781.0,0.503,0.0,4562.0,11497.413499,7.417784987464976e-05,0.0,0.6727621294794278,Combustion turbine,Intensity
55625,0.115,-0.06,0.058,-0.052,0.013,0.0,-0.001,0.011,0.92,0.011,0.007,0.081,CA,CISO,CAISO,38.242158,-121.854722,NG,GAS,0.0387,47.0,,15935.0,1.339,0.1,11625.8,12278.153436,8.402886727329778e-05,6.27549419516787e-06,0.7295764041418261,Combustion turbine,Intensity
55626,0.148,-0.078,0.062,-0.068,0.014,0.0,0.003,0.012,0.775,0.009,0.007,0.159,CA,CISO,CAISO,38.221577,-121.868333,NG,GAS,0.03299,47.0,,13584.0,1.399,0.1,9816.5,12160.381699,0.00010298881036513545,7.361601884570083e-06,0.7226516489988222,Combustion turbine,Intensity
55627,0.159,-0.039,0.06,-0.054,0.013,0.0,-0.005,0.011,0.643,0.01,0.006,0.115,CA,CISO,CAISO,38.226752,-121.843271,NG,GAS,0.03812,47.0,,15694.0,1.542,0.1,11475.4,12304.246448,9.825410985089844e-05,6.371861858034918e-06,0.7311966356569389,Combustion turbine,Intensity
55810,0.06,-0.153,0.074,-0.005,0.02,0.817,-0.01,0.014,0.474,0.002,0.008,0.857,CA,CISO,CAISO,36.999,-121.5363,NG,GAS,0.02463,135.0,,29130.0,4.36,0.0,20937.5,12094.327154,0.0001496738757294885,0.0,0.7187607277720564,Combustion turbine,Intensity
54749,0.207,-0.611,0.09,0.0,0.016,0.977,-0.012,0.016,0.47,-0.003,0.008,0.712,CA,CISO,CAISO,33.1185,-117.0995,NG,GAS,0.04152,51.4,Yes,18695.0,1.408,0.081,8246.464,7423.01831,7.531425514843541e-05,4.332709280556299e-06,0.44110532227868415,Combined cycle,Intensity
55807,0.151,0.07,0.048,0.002,0.011,0.863,0.015,0.01,0.128,-0.0,0.005,0.945,CA,CISO,CAISO,36.2397,-119.9044,NG,GAS,0.0353,98.0,,30308.0,2.565,0.1,19529.8,10842.822027,8.463112049623862e-05,3.2994588887422464e-06,0.6443777220535832,Combustion turbine,Intensity
55698,0.319,-0.044,0.054,-0.071,0.015,0.0,0.006,0.012,0.575,-0.001,0.007,0.906,CA,CISO,CAISO,36.270072,-119.648055,NG,GAS,0.02295,92.2,,18540.0,1.383,0.0,12726.0,11548.971818,7.459546925566343e-05,0.0,0.6864077669902913,Combustion turbine,Intensity
341,0.17,0.18,0.079,-0.014,0.017,0.418,0.015,0.011,0.177,-0.003,0.006,0.655,CA,CISO,CAISO,33.7641,-118.2248,NG,GAS,0.00663,587.4,,34123.0,8.662,0.0,34052.799,16792.368784,0.00025384637927497586,0.0,0.9979427072648946,Combustion turbine,Intensity
56239,0.121,-0.13,0.093,0.02,0.014,0.15,0.003,0.014,0.845,0.009,0.007,0.25,CA,CISO,CAISO,36.6697,-119.7404,NG,GAS,0.01196,121.0,,12674.0,1.353,0.0,7928.3,10526.081939,0.00010675398453526905,0.0,0.6255562569038977,Combustion turbine,Intensity
10156,0.189,-0.131,0.134,0.051,0.033,0.129,-0.072,0.031,0.022,0.016,0.015,0.274,CA,CISO,CAISO,36.617022,-120.099846,NG,GAS,0.00477,103.1,Yes,4312.0,0.084,0.0,1029.056,4015.256395,1.9480519480519483e-05,0.0,0.23864935064935067,Combined cycle,Intensity
57267,0.176,-0.047,0.031,-0.0,0.008,0.953,-0.006,0.005,0.282,-0.006,0.003,0.064,CA,CISO,CAISO,38.016944,-121.765,NG,GAS,0.03658,828.0,,265306.0,11.652,0.9,180329.697,11437.34982,4.391909719342947e-05,3.3923092579888882e-06,0.6797045562482567,Combustion turbine,Intensity
10405,0.343,-0.015,0.064,0.033,0.018,0.067,-0.027,0.014,0.049,-0.002,0.007,0.776,CA,CISO,CAISO,36.5397,-119.5794,NG,GAS,0.01035,36.2,Yes,3282.0,0.226,0.0,1923.471,9861.995391,6.886045094454602e-05,0.0,0.5860667276051188,Combined cycle,Intensity
10169,0.357,-0.276,0.101,0.025,0.015,0.104,-0.057,0.014,0.0,0.01,0.008,0.187,CA,CISO,CAISO,33.8759,-118.2491,NG,GAS,0.04169,55.8,Yes,20377.0,12.158,0.1,11209.5,9256.203379,0.0005966530892673111,4.907493742945478e-06,0.5501055111154733,Combined cycle,Intensity
